번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
97,23871,오른 주먹의 1·2지를 펴서 눈 밑에 대고 교대로 움직인다.,미국,,일상생활 수어 > 나라명 및 지명 > 나라명
98,23870,두 손의 1·5지 사이를 크게 벌려 약간 구부려 배 앞에서 마주 보게 한다.,몽골,,일상생활 수어 > 나라명 및 지명 > 나라명
99,23868,손등이 밖으로 향하게 1·2지를 편 두 주먹을 ‘X’자로 맞댔다가 1·2지를 구부리며 어깨 넓이로 벌린다.,멕시코,,일상생활 수어 > 나라명 및 지명 > 나라명
100,23866,"두 주먹의 1지를 펴서 끝이 위로 향하게 하여 오른쪽 관자놀이 옆에 세워 좌우로 2회 엇갈리게 움직인다(‘2일마다’, ‘3일마다’는 1지 대신 1·2지, 1·2·3지를 편다).",매일,,일상생활 수어 > 개념 > 시간
101,23865,오른 주먹의 1지를 펴서 얼굴 오른쪽에 댔다가 밖으로 내미는 동작을 두 번 반복한다.,매일,하루+하루,일상생활 수어 > 개념 > 시간
102,23864,두 주먹의 1‧5지 끝을 붙여 양쪽 가슴에 대고 상하로 엇갈리게 움직인다(옷인 경우).,(양복을)맞추다,,일상생활 수어 > 기타
103,23862,"왼 주먹을 1지를 펴서 모로 세우고 1지 위에, 오른 주먹의 1지를 펴서 2회 내려댄다.","마찬가지,피장파장,매일반,매한가지",,일상생활 수어 > 기타
104,23856,"오른 주먹의 1지의 끝을 머리 오른쪽에 댔다가 떼면서, 1·5지 끝을 붙여 옆, 밖으로 내민다.",따라다니다,,일상생활 수어 > 기타
105,23853,손등이 밖으로 향하게 펴서 비스듬히 세운 왼손의 1지와 2지 사이로 밖에서부터 안으로 오른 주먹의 1지를 펴서 끼워 넣는다.,"들키다,탄로",,일상생활 수어 > 기타
106,23852,"두 손을, 각각 5지 바닥을 1·2·3·4지 끝 바닥에 대고 든다(밥상을 드는 경우).",들다,,일상생활 수어 > 인간 > 신체 행위
107,23851,오른 주먹의 1·2지를 벌려 펴서 끝이 왼쪽으로 등이 밖으로 향하게 한다.,"둘,이",,일상생활 수어 > 개념 > 수
108,23850,"두 주먹의 1·5지를 펴고 1지가 위로 향하게 쥔 두 주먹을 가슴 앞에서 동시에 위로 올린 다음, 손등이 위로 손끝이 밖으로 향하게 편 두 손을 상하로 흔들며 오른쪽에서 왼쪽으로 이동시킨다.",동해,동(東)+바다,일상생활 수어 > 나라명 및 지명 > 지명
109,23846,손끝을 맞대고 둥글게 쥔 두 손의 손끝을 맞대며 약간 위로 올린다.,"대립,대치",,일상생활 수어 > 기타
110,23845,오른 주먹의 바닥으로 오른쪽 뺨을 친다.,당하다,,일상생활 수어 > 기타
111,23841,"5지를 접고 1·2·3·4지를 벌려 끝이 왼쪽으로, 등이 밖으로 향하게 한다.","넷,사",,일상생활 수어 > 개념 > 수
112,23839,5지를 펴서 세운 두 주먹을 맞댔다가 왼손은 그대로 두고 오른손만 안으로 당긴다.,"낙오,뒤지다",,일상생활 수어 > 기타
113,23834,손등이 위로 향한 오른손의 1지 옆면을 이마에 댄다(연극‧영화 등을 보는 경우).,관람,,일상생활 수어 > 문화 > 문화 활동
114,23831,오른 주먹의 1지를 손끝이 위로 바닥이 밖으로 향하게 하였다가 구부린다.,척추장애인,,일상생활 수어 > 기타
115,23830,두 손을 손바닥이 마주 보게 모로 세워 허리 높이에서 얼굴 높이까지 올린다.,고층,,일상생활 수어 > 개념 > 모양
116,23829,손끝이 옆으로 손등이 위로 향하게 편 오른손 밑에 같은 모양의 왼손을 놓고 두 손목을 동시에 전후로 돌리면서 내린다.,"경과,경위",,일상생활 수어 > 기타
117,23827,손바닥이 아래로 손끝이 밖으로 향하게 편 왼 손바닥을 모로 세운 오른손의 4지 밑면으로 스쳐낸다.,갚았다,,일상생활 수어 > 기타
